id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,census_track
233638,rooms for rent in Queens with piano,1012895,Melody,Queens,Ridgewood,40.70163,-73.90867,Private room,55,1,19,2018-07-31,0.25,1,311,3.6081e+14
233662,Large Sunny Luxe Prvt Room/Midtown,1223568,Tiffany,Manhattan,Midtown,40.75575,-73.96842,Private room,110,2,61,2019-05-18,0.65,1,264,3.6061e+14
234184,Spacious Stunning Harlem Townhouse,902054,William,Manhattan,Harlem,40.80903,-73.94197,Entire home/apt,325,5,89,2019-06-30,0.94,1,153,3.6061e+14
234870,Private Room With GREAT Location,1229984,John,Queens,Long Island City,40.74581,-73.95295,Private room,75,30,65,2017-07-31,0.74,3,219,3.6081e+14
235552,HUGE Sunny Duplex Loft with Garden,1234405,Bertie,Brooklyn,South Slope,40.66414,-73.98574,Entire home/apt,300,1,40,2019-06-16,0.44,1,0,3.6047e+14
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,Manhattan,West Village,40.74,-74.00381,Private room,130,30,80,2019-04-26,0.86,2,332,3.6061e+14
235951,Stylish Studio with exclusive Terrace,1236070,Dan,Manhattan,Midtown,40.753479999999996,-73.97065,Entire home/apt,190,30,136,2019-06-19,1.45,1,120,3.6061e+14
235960,"LES private apt, 1 bedroom & more",1236817,Blue,Manhattan,Lower East Side,40.720659999999995,-73.98506,Entire home/apt,200,3,100,2018-05-28,1.06,1,191,3.6061e+14
236671,"Williamsburg Garden Home, 5 minutes from Manhattan",1240820,Triny,Brooklyn,Williamsburg,40.717459999999996,-73.95496999999999,Entire home/apt,180,2,125,2019-07-06,1.36,3,248,3.6047e+14
236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And Noémie,Brooklyn,DUMBO,40.70257,-73.9847,Entire home/apt,350,5,40,2019-04-14,0.5,1,67,3.6047e+14
236806,charming 2bdrm apt in East Village,1151987,Juvie,Manhattan,East Village,40.722640000000006,-73.9837,Entire home/apt,160,4,0,,,1,0,3.6061e+14
237127,LOCATION LOCATION LOCATION Liz's,1146958,Liz,Manhattan,Kips Bay,40.73833,-73.98186,Entire home/apt,195,30,139,2019-04-28,1.59,4,325,3.6061e+14
